Specialty,Doctors,Non_Doctors,Doctor_Rate,Non_Doctor_Rate,Initial_Backlog,Initial_Wait,Daily_Arrivals
Allergy,2.4,0.0,7.8,5.2,3739,15,2.8
Cardiology,18.9,11.2,0.5,0.3,8562,10,9.3
Child and Adolescent Services,16.3,9.0,1.3,0.9,5665,16,12.7
Dentistry,0.0,0.9,125.9,84.0,7842,19,6.1
Dermatology,0.0,1.0,357.0,238.0,8044,15,9.8
Endocrinology,4.5,1.0,5.0,3.3,4737,15,3.1
Gastroenterology,3.0,1.0,10.8,7.2,4284,13,2.6
General Paediatrics,2.2,7.0,6.5,4.3,10510,22,20.6
Haematology,3.7,2.8,2.9,1.9,1599,9,1.3
Nephrology,4.0,0.0,7.1,4.7,1982,10,2.6
Neurology,5.2,6.8,1.3,0.9,2819,16,8.7
Neurosurgery,7.3,8.0,0.7,0.5,3126,8,2.7
Oral Surgery,2.0,0.0,12.3,8.2,4430,20,2.8
